first_name,last_name,email,product_id,qty,amount,description,address,city,state,country
Christopher,Gates,gail30@example.com,4,3,3.58,Second friend camera popular hundred professor message.,289 Angela Expressway,Patelstad,Alaska,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Michele,Jones,victoria54@example.com,4,6,5.28,Attack different both machine.,17570 Dean Springs,Whitestad,Illinois,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Wayne,Sanchez,gregwright@example.com,6,7,7.86,General far morning capital oil drug.,741 David Cliffs Suite 207,East Loribury,New Jersey,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Donna,Wilson,tammy26@example.net,7,4,3.5,Me positive although take what word.,86801 Weaver Fort,Port Melinda,Hawaii,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
John,Rodriguez,darren33@example.com,9,4,7.78,Night college since history they.,31021 Fisher Via,Taylorburgh,Alabama,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jeffery,Galloway,meredith77@example.net,5,2,9.5,Main beat rise business event.,33586 Martin Camp,Moorehaven,Mississippi,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Douglas,Morrison,hernandezdakota@example.com,5,4,0.97,Seek financial campaign receive should.,461 Victoria Gateway Apt. 991,Natalieborough,New Mexico,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Stephen,Bauer,pcarr@example.com,7,6,4.95,Close factor office.,9013 George Ramp,West Jessicaville,Oklahoma,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Christopher,Rodriguez,brittany23@example.com,6,6,6.49,On front artist season sister kind name expect.,19526 Eric Green,Nicholasshire,Arizona,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Ashley,Gill,george92@example.org,7,4,8.89,Magazine you yeah raise already conference thought.,508 Shaw Lodge,Port Jeremyport,Wisconsin,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Roy,Woods,rpark@example.net,4,4,1.63,Short computer may.,745 Robin Lakes Suite 497,Port Edwardland,North Carolina,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Wayne,Wood,robert69@example.org,9,5,4.88,Stay fast security bed.,8220 Thomas Mountain,Atkinsport,Rhode Island,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Peter,Haynes,emaxwell@example.net,2,9,4.34,Fact walk response itself.,5275 Crystal Ways,Annetteview,Kansas,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Patrick,Baldwin,cwilliams@example.org,9,1,2.78,Doctor threat strong.,03329 Cheryl Shores Apt. 647,Mcdonaldmouth,Nebraska,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jacob,Mueller,tmcdaniel@example.net,1,2,8.91,Upon sell dark open red stock responsibility.,69214 Rodgers Shoal Suite 217,South Ruth,Colorado,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Tyler,Rivera,mariadiaz@example.org,6,7,4.67,Top truth reality quite follow body.,93902 Samuel Ranch,New Lisa,Vermont,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Christopher,Ray,sroberts@example.org,4,3,3.8,Outside page piece fund goal memory.,56620 Brian Pine Apt. 597,Warrenstad,Delaware,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Luis,Henson,vatkinson@example.com,7,7,9.17,Even newspaper decide big.,89690 Meyers Harbor Apt. 842,Hopkinsborough,Wyoming,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
James,Cook,rwilliams@example.com,10,1,7.26,Guy raise get standard door answer government imagine.,689 Elliott Crest,Patrickview,Kansas,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Samantha,Hanson,rodriguezkatie@example.net,1,9,1.0,Radio once best artist population manage radio.,3631 Clayton Fort Apt. 703,New Maurice,North Dakota,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Keith,Henry,victoria77@example.org,7,1,5.06,Bad ago group decision information traditional.,37613 Yang Terrace Apt. 107,Ericmouth,Indiana,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Christina,Gibbs,rdiaz@example.org,8,1,7.33,Will assume push education rich you choose real.,972 Christopher Prairie,Lake Markchester,Iowa,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Robyn,Palmer,rodney85@example.com,1,8,9.15,Style suffer her court later dinner.,5341 Moreno Unions Apt. 966,Bakerton,Utah,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Maria,Martinez,robertsalazar@example.net,2,5,7.75,Also apply growth necessary discuss.,07602 Clark Road Suite 608,Lake Jacobville,New Jersey,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Alexis,Pineda,davisbrian@example.org,5,9,0.81,A director discover deep.,89058 Clements Mountain Suite 493,Jeremychester,Alabama,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jessica,Lewis,fosterjennifer@example.org,4,3,7.65,Page understand leg admit.,491 Steven Shores Suite 822,South Candice,South Dakota,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Janet,Martin,ryanmcclain@example.com,3,1,5.88,Paper every building character boy blood.,170 Young Island Apt. 182,Rachaelstad,Tennessee,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Lori,Powers,rbeard@example.net,8,1,7.71,Attention including medical ball carry reduce.,2189 Lawson Curve,West Kimland,Alabama,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Joshua,Gilmore,shelly67@example.net,7,4,6.81,Hit see say whom head system energy little.,9707 Troy Center Apt. 090,Lake Garytown,Indiana,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Ashlee,Carter,connie64@example.org,2,4,2.19,Wonder speak various radio act.,9444 Kane Stravenue Apt. 061,Stephanieport,Wyoming,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Randy,Brown,jeffersonpaul@example.net,8,3,0.37,Ok health star card risk development.,4176 Wolfe Lane Suite 044,Jessehaven,New Hampshire,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Eric,Harrison,tony01@example.com,9,6,6.63,Just yourself offer recent scene.,9332 Jeffery Prairie Suite 181,Meadowsbury,Maryland,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Leslie,Cantrell,smithhaley@example.net,5,6,9.73,Side friend street play teach picture fall surface.,288 Margaret Tunnel,East Joseborough,Rhode Island,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Brian,Hopkins,johnramirez@example.org,8,8,7.88,Marriage marriage anything.,58939 Craig Fork,Port Alyssaside,North Dakota,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Bobby,Matthews,millerwendy@example.com,2,6,6.54,Cover long scene page.,97999 Harris Centers,Lake Anthonyhaven,Delaware,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Cynthia,Morris,jenniferstevens@example.com,1,6,2.13,Often start foreign way by.,8418 Grimes Neck Suite 948,Michaelhaven,Vermont,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Linda,Mitchell,dnoble@example.com,8,2,7.47,Spring customer Mrs capital.,40440 Melendez Road Apt. 477,North Rebeccashire,Massachusetts,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Levi,Robbins,kimberly66@example.net,8,3,9.61,That agency thought total land.,0704 John Extensions Suite 725,Lake Samanthaland,California,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Christine,Miller,michael86@example.org,1,9,3.16,Usually mouth whom his boy.,5272 Elizabeth Freeway,Brianmouth,Virginia,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Albert,Koch,jeremycampbell@example.com,9,7,4.47,Particular later town present buy.,9709 Amy Mission,Lake Danielle,Kentucky,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Thomas,Curtis,tonyacummings@example.net,10,3,8.0,Area break property international tonight.,43724 Winters Stream Suite 256,Lake Stephanie,North Dakota,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Patricia,Odonnell,petersonmichael@example.com,4,7,1.38,News would actually church consider hear recently.,26950 Williamson Brooks Suite 918,Port Christopher,Arizona,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Mark,Tapia,nguyencharles@example.org,4,9,5.35,Could project second tax.,9059 Evans Views,North Michael,Indiana,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
James,Strickland,allison48@example.org,3,1,8.02,Story your thought probably lawyer when.,55084 Hart Roads,Port Julie,Indiana,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Andrea,Pierce,hillnathan@example.com,10,6,0.57,Without oil risk thank choose peace whom fight.,593 Elizabeth Courts,Lake Danielfort,Hawaii,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Elizabeth,Dunn,grayjustin@example.com,1,2,5.32,Which direction history sister.,236 Jones Parkways,South Kyle,Indiana,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Antonio,Moran,michelle77@example.com,1,5,2.82,Throughout kind whom describe medical likely knowledge.,8731 Bailey Mountains,East Scotthaven,West Virginia,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Anne,Miller,chelsea86@example.net,4,8,2.62,Live fall home key.,781 King Fork,South Danielchester,Arkansas,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Erika,Kaiser,krystal59@example.net,4,7,8.24,Life mouth at rich since pull material.,447 Jose Falls Apt. 381,Aprilfurt,Ohio,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Erica,Callahan,mccallkelsey@example.net,4,1,8.13,Election trouble half near father.,39835 Eric Meadow,North Joe,Illinois,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jason,Wilson,karen88@example.com,2,3,6.87,Put store many.,7708 Peterson Valley,Jonathanport,Alaska,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Anthony,Odom,jason26@example.net,9,4,9.44,Season bad hit generation.,29241 Farmer Radial Apt. 075,Ryanhaven,Virginia,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Marco,Blake,carol68@example.net,8,4,9.74,Director staff summer field buy.,2261 David Crest Apt. 235,Taylormouth,Kansas,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
John,Campbell,kingjessica@example.com,3,3,4.24,Idea tree similar million.,56653 Harvey Gateway Suite 758,Port Jacqueline,Virginia,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Steven,Taylor,nicole77@example.net,2,2,2.73,Day return office effort.,7083 Tammy Mission,Flowerstown,Kansas,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Benjamin,Hahn,moralessuzanne@example.com,9,6,7.04,Hotel writer eye computer.,0873 Jack Points Suite 954,Port Anthony,South Dakota,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Savannah,Allison,martinezamanda@example.net,7,8,3.87,Already story agent real anyone.,15973 Olson River,Billland,Iowa,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Mark,Smith,dianefarmer@example.net,5,6,6.0,Wide their stand need.,540 Helen Lane,Port Kimberlyfurt,Indiana,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jennifer,White,ctaylor@example.net,7,5,0.92,Head effort environment bank few study difficult.,122 Bonnie Islands,South Jasonshire,Minnesota,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Kristy,Johnston,sheryl77@example.net,5,7,8.0,Professional easy short bad.,471 Reid Views Apt. 025,Nunezville,Michigan,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Sara,Rodriguez,gmurphy@example.com,4,1,5.53,Friend strategy few past.,2760 Ricky Rest Suite 784,Richardsonton,Florida,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jorge,Porter,waynemejia@example.net,1,6,0.65,Get society society subject travel.,98328 Latoya Common,West Johnborough,Minnesota,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Travis,Hodge,crystalphillips@example.org,6,9,7.22,Your third you door what pull.,1531 Gonzalez Unions Apt. 716,Amandamouth,New Hampshire,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Anna,Ramirez,acostawendy@example.com,3,3,4.44,Others medical special up ago my brother.,76086 Olsen Ferry Suite 947,Charlesburgh,New Jersey,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Seth,Casey,yjones@example.org,7,2,7.21,Collection training describe central.,450 Ana Track,New Shawnview,Illinois,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Anna,Cooper,hparker@example.org,1,3,8.86,Decide yourself population voice.,86042 Wesley Alley,South Veronica,Arkansas,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Margaret,Rodriguez,xpayne@example.org,8,7,6.91,Major similar economic tough place three.,42987 Bass Shoal,Patriciaside,Wisconsin,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Erin,Martin,vtucker@example.org,10,8,6.39,Cold only reflect major trial production property.,098 Salas Mill,Lake Emma,Utah,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Nicole,Soto,sarahsmith@example.com,5,6,1.26,Read claim model.,5079 Calvin View Apt. 938,Port Alexisstad,New Jersey,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
John,Huff,cookjoseph@example.com,3,9,3.3,View letter without PM.,0697 Stephanie Wall,North Lawrence,Georgia,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jackson,Price,montoyatravis@example.org,6,8,4.24,Owner hold bit or blue.,140 Harris Groves,Kathleenmouth,Montana,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jodi,Wilson,wgutierrez@example.net,3,8,2.06,Less large over ability rather kid.,218 Hill Bridge Apt. 030,Danielfurt,Pennsylvania,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jennifer,Estrada,floresmichael@example.net,7,7,6.21,Person deal share choice sing position blue.,36378 Kimberly Landing Suite 691,Vanessaside,West Virginia,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Andrew,Lynn,harmonbenjamin@example.net,1,4,4.06,New go throughout star throughout.,519 Kevin Branch Apt. 449,Lake Nicole,Vermont,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Patrick,Dorsey,james95@example.org,1,1,5.8,Best kitchen water hour reason much white.,20901 Avila Pine Suite 355,Lake Adamport,Oregon,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Hailey,Miller,clinton48@example.com,7,9,5.52,Recent north see else arrive.,975 Wright Springs Suite 045,East Aaronstad,Virginia,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Daniel,Kline,proctorjake@example.com,7,6,9.47,Fact long space.,00921 Decker Oval,East Matthewton,Wyoming,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Cheryl,Howard,qsmith@example.org,8,8,4.79,Artist century building choice whether amount difficult.,86710 Lonnie Path,North Travis,Alaska,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Meredith,Hunter,juliefrost@example.com,2,7,6.26,Commercial window matter debate.,237 Fernandez Ramp,South Lisa,Delaware,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Spencer,Cannon,jose09@example.net,8,9,9.39,Wife several build nor matter.,316 Michael Turnpike Suite 345,New Brandon,Kentucky,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Sierra,Clark,seanharris@example.org,5,7,5.66,Beautiful position resource investment tax.,2091 Campbell Dam,Emilybury,Washington,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Steven,Diaz,smithkimberly@example.net,6,9,0.3,Happy environment major message during great.,854 Lang Harbors Apt. 063,West Angelaland,Pennsylvania,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Blake,Haas,felicia61@example.com,3,4,7.32,Operation production especially want place prepare.,746 Jenkins Parkways Suite 689,East Christopherberg,Arizona,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Tristan,Washington,tylerwhite@example.org,9,7,4.93,Social since thus statement.,14887 Walsh Manors Suite 043,Allisonmouth,Vermont,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Douglas,Moore,nathaniel10@example.net,3,5,5.3,Director explain both feeling.,768 Trujillo Ridge Apt. 557,Sparksland,Kansas,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Tony,Dixon,hannahstewart@example.org,5,3,7.74,They couple material make each.,76941 Mary Via,Michaelmouth,Rhode Island,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Danny,Conrad,crystalhoward@example.com,7,4,4.03,Herself later lot.,62925 Karen Park,Lake Jamesmouth,New York,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Alexandra,Horton,robyn91@example.com,8,6,4.23,Meeting meet down instead address painting.,1468 Morrow Avenue,Lisaberg,Florida,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Mallory,Schmidt,sperry@example.net,6,1,0.4,Example very student week he up four.,9835 Sandra Prairie Suite 985,East Michael,Utah,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jason,Skinner,qyang@example.net,7,3,8.3,Allow here avoid stop for happen.,67393 Jones Rapid Suite 373,Josephland,Iowa,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Sheila,Pierce,kenneth73@example.net,5,4,2.36,Left successful seem knowledge civil.,49107 Tamara Turnpike Apt. 000,Zavalafurt,Kansas,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jacqueline,Walsh,jo66@example.net,3,2,6.72,Attorney close message third good term.,789 David Rapids Apt. 928,South Nicholas,North Carolina,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Joseph,Morales,erikroberts@example.net,1,1,4.31,Ahead behavior recognize floor toward real.,752 Allison Views,Kristenmouth,Washington,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
